codigo	matricula	fecha_matriculacion
1235702	1634HHK	40884
1235762	0679HHK	40884
1236180	0199HHK	40884
1235719	9397HHJ	40882
1235712	8946HHJ	40882
1235619	8496HHJ	40882
1235766	7605HHJ	40882
1235695	8491HHJ	40882
1235715	8945HHJ	40882
1235699	9967HHJ	40882
1235614	8493HHJ	40882
1235840	7917HHJ	40882
1235723	9376HHJ	40882
1235708	9185HHJ	40882
1235559	2406HHJ	40878
1235479	2637HHJ	40878
1235544	0785HHJ	40878
1235448	9210HHH	40878
1235481	2628HHJ	40878
1235529	2482HHJ	40878
1235526	9861HHH	40878
1235296	9878HHG	40877
1235270	0477HHH	40877
1235356	2592HHG	40876
1235395	6328HHG	40876
1269712	6762HHG	40876
1235328	6633HHG	40876
1235352	2428HHG	40876
1235250	7771HHF	40875
1235185	9383HHF	40875
1235188	0489HHG	40875
1235265	1282HHG	40875
1235285	0329HHG	40875
1235289	0371HHG	40875
1235338	0522HHG	40875
1235280	0309HHG	40875
1235344	0244HHG	40875
1236140	0360HHG	40875
1235163	6053HHF	40872
1235110	6504HHF	40872
1235166	4269HHF	40872
1235155	6075HHF	40872
1235170	6065HHF	40872
1235014	3250HHF	40872
1235151	6884HHF	40872
1469003	7500HHF	40872
1235145	6994HHF	40872
1235061	2329HHF	40871
1235073	2412HHF	40871
1235103	2424HHF	40871
1235071	2385HHF	40871
1235100	2432HHF	40871
1235059	9753HHD	40871
1235000	9471HHD	40871
1235098	2414HHF	40871
1234990	6122HHD	40870
1235477	5522HHD	40870
1235009	7486HHD	40870
1235021	8151HHD	40870
1234804	4720HHD	40870
1234860	6012HHD	40870
1234883	5787HHD	40870
1234722	1081HHD	40869
1234890	3715HHD	40869
1235224	3108HHD	40869
1234880	2410HHD	40869
1234791	0573HHD	40869
1234730	1485HHD	40869
1234887	3697HHD	40869
1234809	9573HHC	40868
1234725	7721HHC	40868
1234711	0153HHD	40868
1234798	0151HHD	40868
1234604	5358HHC	40865
1234706	6642HHC	40865
1234656	3110HHC	40864
1234874	2019HHC	40864
1234659	3122HHC	40864
1234738	1684HHC	40864
1234570	0323HHC	40864
1234661	2424HHC	40864
1234418	6549HHB	40863
1234588	8547HHB	40863
1234584	8553HHB	40863
1234701	6712HHB	40863
1234572	6440HHB	40863
1234562	8106HHB	40863
1234463	8426HHB	40863
1234396	3790HHB	40862
1234441	4395HHB	40862
1234468	5101HHB	40862
1234400	3457HHB	40862
1234465	3642HHB	40862
1234330	3452HHB	40862
1234617	4120HHB	40862
1234437	4441HHB	40862
1234619	4142HHB	40862
1234455	5610HHB	40862
1234410	4483HHB	40862
1234311	0295HHB	40861
1234404	1169HHB	40861
1234307	0449HHB	40861
1234192	7675HGZ	40858
1234222	9038HGZ	40858
1234236	6959HGZ	40858
