Codigo	Matricula	Fecha Matriculacion	Marca	Modelo	Tipo	Variante	Clasificacion medioambiental	Combustible	Cilindrada	Potencia	Numero de Plazas	Fecha inicio de prestacion del servicio de taxi	Eurotaxi	Regimen Especial de Eurotaxi	Fecha inicio Regimen Especial Eurotaxi	Fecha fin Regimen Especial Eurotaxi	Fecha
1526861	3167KPX	16/10/18	FIAT	FIAT TIPO	356	WXF1B	ECO	GLP / GASOLINA	1368	88	5	19/10/18	NO	NO			3/11/18
1526889	3117KPX	16/10/18	FIAT	FIAT TIPO	356	WXF1B	ECO	GLP / GASOLINA	1368	88	5	19/10/18	NO	NO			3/11/18
1527351	7720KPX	16/10/18	FIAT	FIAT TIPO	356	WXF1B	ECO	GLP / GASOLINA	1368	88	5	26/10/18	NO	NO			3/11/18
1526865	3231KPX	16/10/18	FIAT	FIAT TIPO	356	WXF1B	ECO	GLP / GASOLINA	1368	88	5	19/10/18	NO	NO			3/11/18
1527467	6021KPX	16/10/18	SSANGYONG	XLV	XK	BV2L	ECO	GASOLINA TRANSFORMADO GLP	1597	94.1	5	2/11/18	NO	NO			3/11/18
1526976	7114KPX	16/10/18	TOYOTA	PRIUS PLUS	XW3(a)	ZVW40(W)	ECO	GASOLINA-ELECTRICIDAD	1798	73	5	22/10/18	NO	NO			3/11/18
1526879	3205KPX	16/10/18	TOYOTA	PRIUS PLUS	XW3(a)	ZVW40(W)	ECO	GASOLINA-ELECTRICIDAD	1798	73	5	19/10/18	NO	NO			3/11/18
1526895	3141KPX	16/10/18	TOYOTA	PRIUS PLUS	XW3(a)	ZVW40(W)	ECO	GASOLINA-ELECTRICIDAD	1798	73	5	24/10/18	NO	NO			3/11/18
1527482	3129KPX	16/10/18	VOLKSWAGEN	CADDY	2K	AFCPWA??	ECO	GASOLINA - GAS NATURAL	1395	81	7	31/10/18	NO	NO			3/11/18
1527490	3218KPX	16/10/18	VOLKSWAGEN	CADDY	2K	AFCPWA??	ECO	GASOLINA - GAS NATURAL	1395	81	7	2/11/18	NO	NO			3/11/18
1527344	7150KPX	16/10/18	VOLKSWAGEN	CADDY	2K	AFCPWA??	ECO	GASOLINA - GAS NATURAL	1395	81	7	26/10/18	NO	NO			3/11/18
1526806	9239KPW	15/10/18	FIAT	FIAT TIPO	356	WXF1B	ECO	GLP / GASOLINA	1368	88	5	26/10/18	NO	NO			3/11/18
1526803	9298KPW	15/10/18	FIAT	FIAT TIPO	356	WXF1B	ECO	GLP / GASOLINA	1368	88	5	22/10/18	NO	NO			3/11/18
