Codigo	Matricula
1514038	8769KLS
1514196	8333KLS
1514151	5455KLS
1514087	5225KLS
1514165	5315KLS
1514010	7460KLR
1514154	4099KLS
1514008	7481KLR
1514167	7790KLR
1514015	7512KLR
1514145	0794KLS
1514082	4097KLR
1514159	1149KLR
1513921	0837KLR
1513927	0635KLR
1514000	0733KLR
1514333	4949KLR
1513925	0652KLR
1513931	0671KLR
1513929	5775KLR
1514137	7222KLP
1514447	6405KLP
1513869	9257KLP
1513876	7656KLP
1513859	4870KLP
1513913	5164KLP
1513857	4985KLP
1513861	5373KLP
1513867	4296KLP
1513694	2925KLP
1514932	3369KLP
1513709	3262KLP
1513863	8882KLN
1513865	8860KLN
1513581	5221KLN
1515754	9505KLN
1513668	7183KLN
1513666	7169KLN
1513583	5263KLN
1513579	5245KLN
1513686	9711KLN
1513690	5004KLL
1514355	6780KLL
1513655	9230KLM
1513664	3461KLN
1513573	7236KLL
1513451	9231KLJ
1513345	1157KLL
1514367	1561KLL
1513256	3986KLF
1513456	6535KLJ
1513360	6879KLJ
1513335	7168KLJ
1513485	6617KLJ
1513916	6573KLK
1515225	2573KLK
1513543	7179KLJ
1514089	0314KLL
1513342	4981KLJ
1513338	7573KLK
1513688	3790KLK
1514275	6999KLK
1515335	4904KLJ
1515219	5032KLJ
1513222	1655KLH
1513224	1405KLH
1513229	1950KLJ
1513340	3784KLH
1513679	1539KLJ
1513495	9872KLH
1513278	7312KLH
1513351	6805KLH
1513231	2406KLJ
1513355	1436KLH
1513226	1422KLH
1513363	1552KLH
1513016	7291KLG
1513259	1824KLG
1513294	6046KLG
1513068	1586KLG
1513427	2905KLG
1513056	1604KLG
1513253	3896KLG
1513214	1732KLG
1513201	1697KLG
1513037	0073KLG
1513349	3162KLF
1512970	3791KLF
1513060	0624KLG
1512964	9703KLD
1513027	0218KLF
1513463	0603KLG
1513219	0122KLF
1512967	9905KLD
1514361	3430KLF
1513065	0678KLG
1513035	7557KLD
1512925	2053KLD
1513075	4851KLD
1512904	0907KLD
1514267	0970KLD
1513062	4241KLD
1513070	8521KLD
1513347	9828KLC
1512888	1768KLD
1512974	0223KLD
1512895	0084KLD
1513031	8677KLD
1512756	1777KLC
1512791	2071KLC
1512891	3442KLC
1512972	1034KLC
1512900	1867KLC
1512907	0955KLC
1513058	6045KLC
1512781	0865KLC
1512912	1039KLC
1512783	0913KLC
1512796	8124KLC
1512785	0930KLC
1512787	0841KLC
1512909	1422KLC
1512800	0270KLC
1512793	5992KLB
1512708	7286KLB
1513871	5924KLB
1513307	3256KLB
1512789	3137KLB
1512574	8500KKZ
1512568	7218KKZ
1513077	2539KLB
1512570	7096KKZ
1512591	7126KKZ
1512572	7112KKZ
1512565	7170KKZ
1512706	7161KKZ
1514482	0148KLB
1513029	1420KLB
1512385	5015KKZ
1514335	4831KKZ
1512777	3246KKZ
1512439	6324KKZ
1512562	0738KKZ
1512703	6243KKZ
1512446	6402KKZ
1512559	4909KKZ
1512333	1738KKY
1512336	1705KKY
1512326	7227KKY
1512329	2284KKY
1513571	3591KKY
1513303	1782KKY
1512359	7441KKY
1512576	9209KKY
1512807	9204KKY
1512553	3049KKY
1513357	3102KKY
1512582	9208KKY
1512086	5903KKX
1512288	0158KKY
1512168	5721KKX
1512804	1315KKY
1512278	4755KKX
1512798	9812KKX
1512178	7385KKW
1512276	5375KKW
1512226	5258KKW
1512078	5223KKW
1512065	5178KKW
1512190	8963KKW
1512193	8375KKW
1524504	0113KKX
1512082	9451KKW
1512070	5127KKW
1512062	6319KKW
1512340	0050KKX
1512356	0088KKX
1513072	9885KKW
1512286	6509KKW
1512283	6038KKW
1512068	5158KKW
1512585	1090KKW
1512292	8495KKV
1513874	3179KKW
1512555	1083KKW
1511970	9406KKV
1512076	7931KKV
1511977	8895KKV
1511996	8964KKV
1511980	8835KKV
1511982	0134KKW
1512779	3737KKW
1512165	7564KKV
1512073	6398KKV
1511994	2111KKV
1511911	6681KKV
1511999	2067KKV
1512185	1897KKV
1512181	7451KKV
1511990	2728KKV
1511963	2171KKV
1511832	5525KKT
1511955	7382KKT
1512331	0901KKV
1511763	4987KKT
1511918	9774KKT
1511784	5290KKT
1511988	6500KKT
1512557	7324KKT
1511753	7321KKT
1511938	7317KKT
1511821	4948KKT
1511830	0705KKV
1511759	4974KKT
1511916	1097KKV
1511769	5015KKT
1511689	4152KKT
1511966	9131KKS
1511675	8871KKS
1511682	8428KKS
1513476	2215KKT
1511793	3702KKT
1511775	9821KKS
1511828	9916KKS
1511678	9751KKS
1511684	9637KKS
1511695	3842KKT
1511698	3711KKT
1511680	9133KKS
1511692	9588KKS
1511537	3833KKS
1511780	8239KKS
1511672	7272KKS
1511525	5258KKS
1511687	4848KKS
1511527	3941KKS
1511534	3814KKS
1511539	4040KKS
1511542	2871KKS
1511506	9606KKR
1511558	0158KKS
1511544	2961KKS
1511420	7672HVZ
1511632	3384KKR
1511771	7420KKR
1511553	3081KKR
1512173	3600KKR
1512249	2890KKR
1511548	3316KKR
1511322	7394KKR
1511422	3439KKR
1511418	7259KKR
1511556	7502KKR
1511414	5824KKR
1512914	6450KKR
1511317	3233KKN
1511325	6165KKP
1511237	9989KKM
1512580	3506KKP
1513018	8141KKN
1511239	0039KKN
1511310	0092KKN
1511331	9876KKM
1511902	5742KKN
1511329	9683KKN
1511181	2637KKL
1511231	2259KKL
1511179	2438KKL
1511243	1832KKL
1511986	8005KKM
1511651	8996KKL
1511173	8850KKM
1511177	8867KKM
1511228	9110KKM
1511550	8322KKM
1511184	2843KKL
1511164	5203KKL
1511319	2974KKM
1511128	6732KKM
1511307	8126KKM
1511546	0888KKL
1511148	4686KKK
1511074	9682KKK
1511085	9992KKK
1511561	1510KKK
1511098	9116KKJ
1511305	1018KKL
1511087	9822KKK
1511807	1021KKK
1511096	9237KKJ
1511327	0009KKK
1510991	1745KKJ
1510966	8620KKH
1510960	8862KKH
1511068	8572KKH
1511076	8532KKH
1510939	5551KKJ
1510964	8732KKH
1510920	1432KKJ
1510958	6612KKJ
1511066	9957KKG
1511131	2195KKH
1510828	9398KKG
1510825	0170KKH
1510840	6749KKH
1510935	8930KKG
1510735	4720KKG
1511312	4111KKG
1510713	7763KKG
1510834	2834KKG
1510836	2898KKG
1510832	4109KKG
1513110	7764KKG
1510968	2777KKG
1510741	3331KKG
1510952	7770KKG
1511932	2963KKG
1511895	9949KKF
1510618	9885KKF
1510648	6074KKF
1510637	5798KKF
1510651	1277KKG
1510632	5964KKF
1510719	3849KKF
1510722	1187KKG
1510643	6147KKF
1510434	6391KKD
1510447	6189KKD
1510641	6328KKD
1510507	6783KKD
1510572	2846KKF
1510566	6076KKD
1510646	6635KKD
1510711	2893KKF
1510732	8491KKD
1510465	7821KKD
1510568	3306KKD
1512615	0537KKD
1510945	5681KKD
1510559	7859KKC
1510564	1027KKD
1510943	0550KKD
1512245	7997KKC
1510655	4786KKD
1510477	7772KKC
1510455	8028KKC
1510562	3116KKD
1510474	3781KKC
