codigo	matricula	fecha_matriculacion	marca	modelo	tipo	variante	clasificacion_medioambiental	combustible	cilindrada	potencia	numero_plazas	fecha_inicio_prestacion_servicio	eurotaxi	regimen_especial_eurotaxi	fecha_ini_reg_esp_eur	fecha_fin_reg_esp_eur	fecha_informe	
1181094	9230GSV	2010-01-14	SKODA	OCTAVIA	1U	STAXRX01/NFM5******	B	DIESEL	1896	74	5	2010-01-18	FALSE	FALSE			2018-11-03	
1181483	8909GSV	2010-01-14	TOYOTA	PRIUS	XW3(A)	ZVW30(H)	ECO	GASOLINA-ELECTRICIDAD	1798	73	5	2010-01-22	FALSE	FALSE			2018-11-03	
1181001	8958GSV	2010-01-14	VOLKSWAGEN	PASSAT	3C	AACBABX0/FD6******	B	DIESEL	1968	103	5	2010-01-15	FALSE	FALSE			2018-11-03	
1180971	4460GSV	2010-01-13	PEUGEOT	407	6*****	6DRHF*	B	DIESEL	1997	103	5	2010-01-15	FALSE	FALSE			2018-11-03	
1180895	3997GSV	2010-01-13	SKODA	OCTAVIA	1Z	AABXEX01/NFM5********	B	DIESEL	1896	77	5	2010-01-14	FALSE	FALSE			2018-11-03	
1181027	4494GSV	2010-01-13	TOYOTA	PRIUS	XW3(A)	ZVW30(H)	ECO	GASOLINA-ELECTRICIDAD	1798	73	5	2010-01-15	FALSE	FALSE			2018-11-03	
550115	4249GST	2010-01-08	SKODA	OCTAVIA				DIESEL	0	12		2010-01-14	FALSE	FALSE			2018-11-03	
1180577	2476GST	2010-01-08	SKODA	OCTAVIA	1U	STAXRX01/NFM5******	B	DIESEL	1896	74	5	2010-01-11	FALSE	FALSE			2018-11-03	
1180504	2382GST	2010-01-08	SKODA	OCTAVIA	1U	STAXRX01/NFM5******	B	DIESEL	1896	74	5	2010-01-08	FALSE	FALSE			2018-11-03	
1338897	3408GST	2010-01-08	TOYOTA	PRIUS	XW3(A)	ZVW30(H)	ECO	GASOLINA-ELECTRICIDAD	1798	73	5	2014-05-23	FALSE	FALSE			2018-11-03	
1180468	1604GST	2010-01-07	SKODA	OCTAVIA	1Z	AABXEX01/NFM5********	B	DIESEL	1896	77	5	2010-01-08	FALSE	FALSE			2018-11-03	
1289162	0627GST	2010-01-07	TOYOTA	PRIUS	XW3(A)	ZVW30(H)	ECO	GASOLINA-ELECTRICIDAD	1798	73	5	2013-02-12	FALSE	FALSE			2018-11-03	
1180482	3435GSS	2010-01-05	SEAT	ALTEA XL	5P	ACBXEX01/SGFM5********	B	DIESEL	1896	77	5	2010-01-08	FALSE	FALSE			2018-11-03	
1180381	6712GSS	2010-01-05	SKODA	OCTAVIA	1Z	AABXEX01/NFD6********	B	DIESEL	1896	77	5	2010-01-07	FALSE	FALSE			2018-11-03	
1180885	5103GSS	2010-01-05	SKODA	OCTAVIA	1Z	AABXEX01/NFM5********	B	DIESEL	1896	77	5	2010-01-14	FALSE	FALSE			2018-11-03	
1180366	3535GSS	2010-01-05	SKODA	SUPERB	3T	AABXEX01/NFM5********	B	DIESEL	1896	77	5	2010-01-07	FALSE	FALSE			2018-11-03	
1180462	7473GSS	2010-01-05	SKODA	OCTAVIA	1U	STAXRX01/NFM5******	B	DIESEL	1896	74	5	2010-01-08	FALSE	FALSE			2018-11-03	
1180501	7454GSS	2010-01-05	SKODA	OCTAVIA	1U	STAXRX01/NFM5******	B	DIESEL	1896	74	5	2010-01-08	FALSE	FALSE			2018-11-03	
1180285	0885GSS	2010-01-04	PEUGEOT	407 SW	6*****	6ERHF*	B	DIESEL	1997	103	5	2010-01-05	FALSE	FALSE			2018-11-03	
1180736	0549GSS	2010-01-04	SKODA	OCTAVIA	1Z	AABXEX01/NFD6********	B	DIESEL	1896	77	5	2010-01-13	FALSE	FALSE			2018-11-03	
1180281	0309GSS	2010-01-04	SKODA	SUPERB	3T	AABXEX01/NFM5********	B	DIESEL	1896	77	5	2010-01-05	FALSE	FALSE			2018-11-03	
1180389	9003GSR	2010-01-04	SKODA	OCTAVIA	1U	STAXRX01/NFM5******	B	DIESEL	1896	74	5	2010-01-07	FALSE	FALSE			2018-11-03	
1353165	9022GSR	2010-01-04	VOLKSWAGEN	CADDY	2K	ACBMMX01/FM6********S*0J2***LN1	B	DIESEL	1968	103	5	2014-12-15	TRUE	TRUE	2015-04-17	2021-04-07	2018-11-03	
1180148	2015GSR	2009-12-30	PEUGEOT	407	6*****	6DRHF*	B	DIESEL	1997	103	5	2010-01-04	FALSE	FALSE			2018-11-03	
1180307	7019GSR	2009-12-30	SKODA	OCTAVIA	1U	STAXRX01/NFM5******	B	DIESEL	1896	74	5	2010-01-05	FALSE	FALSE			2018-11-03	
1180193	6567GSP	2009-12-30	SKODA	OCTAVIA	1U	STAXRX01/NFM5******	B	DIESEL	1896	74	5	2010-01-04	FALSE	FALSE			2018-11-03	
1180310	7622GSR	2009-12-30	SKODA	OCTAVIA	1U	STAXRX01/NFM5******	B	DIESEL	1896	74	5	2010-01-05	FALSE	FALSE			2018-11-03	
1180301	6059GSR	2009-12-30	TOYOTA	PRIUS	XW3(A)	ZVW30(H)	ECO	GASOLINA-ELECTRICIDAD	1798	73	5	2010-01-05	FALSE	FALSE			2018-11-03	
1164351	1366GSP	2009-12-29	SEAT	ALTEA XL	5P	ACBXEX01/SGNFM5	B	DIESEL	1896	77	5	2009-12-30	FALSE	FALSE			2018-11-03	
1180166	1628GSP	2009-12-29	SKODA	SUPERB	3T	AABXEX01/NFM5********	B	DIESEL	1896	77	5	2010-01-04	FALSE	FALSE			2018-11-03	
1164377	7784GSM	2009-12-28	PEUGEOT	407	6*****	6DRHF*	B	DIESEL	1997	103	5	2009-12-30	FALSE	FALSE			2018-11-03	
1164381	1970GSN	2009-12-28	SKODA	OCTAVIA	1U	STAXRX01/NFM5******	B	DIESEL	1896	74	5	2009-12-30	FALSE	FALSE			2018-11-03	
1164100	3429GSM	2009-12-23	SKODA	OCTAVIA	1U	STAXRX01/NFM5******	B	DIESEL	1896	74	5	2009-12-28	FALSE	FALSE			2018-11-03	
1164213	5360GSM	2009-12-23	SKODA	OCTAVIA	1Z	AABXEX01/NFM5********	B	DIESEL	1896	77	5	2009-12-29	FALSE	FALSE			2018-11-03	
1388620	7960GSL	2009-12-23	TOYOTA	PRIUS	XW3(A)	ZVW30(H)	ECO	GASOLINA-ELECTRICIDAD	1798	73	5	2015-08-26	FALSE	FALSE			2018-11-03	
1371261	5440GSM	2009-12-23	TOYOTA	PRIUS	XW3(A)	ZVW30(H)	ECO	GASOLINA-ELECTRICIDAD	1798	73	5	2015-01-21	FALSE	FALSE			2018-11-03	
1164160	3154GSL	2009-12-22	PEUGEOT	407	6*****	6DRHF*	B	DIESEL	1997	103	5	2009-12-28	FALSE	FALSE			2018-11-03	
1164145	3026GSL	2009-12-22	SKODA	OCTAVIA	1U	STAXRX01/NFM5******	B	DIESEL	1896	74	5	2009-12-28	FALSE	FALSE			2018-11-03	
1164162	3128GSL	2009-12-22	SKODA	SUPERB	3T	AABXEX01/NFM5********	B	DIESEL	1896	77	5	2009-12-28	FALSE	FALSE			2018-11-03	
1164012	7322GSK	2009-12-21	PEUGEOT	407	6*****	6DRHF*	B	DIESEL	1997	103	5	2009-12-23	FALSE	FALSE			2018-11-03	
1164001	7474GSK	2009-12-21	SKODA	OCTAVIA	1Z	AABXEX01/NFM5********	B	DIESEL	1896	77	5	2009-12-23	FALSE	FALSE			2018-11-03	
1163921	2975GSK	2009-12-18	SEAT	ALTEA XL	5P	ACBKDX01/AGNFD6	B	DIESEL	1968	103	5	2009-12-22	FALSE	FALSE			2018-11-03	
1163806	9078GSJ	2009-12-18	SKODA	OCTAVIA	1U	STAXRX01/NFM5******	B	DIESEL	1896	74	5	2009-12-21	FALSE	FALSE			2018-11-03	
1163813	8828GSJ	2009-12-18	SKODA	OCTAVIA	1U	STAXRX01/NFM5******	B	DIESEL	1896	74	5	2009-12-21	FALSE	FALSE			2018-11-03	
1163842	0286GSK	2009-12-18	SKODA	OCTAVIA	1U	STAXRX01/NFM5******	B	DIESEL	1896	74	5	2009-12-21	FALSE	FALSE			2018-11-03	
1163835	4240GSH	2009-12-15	SEAT	ALTEA XL	5P	ACBSEX01/SGNFM5	C	GASOLINA TRANSFORMADO GLP	1595	75	5	2009-12-21	FALSE	FALSE			2018-11-03	
1163531	4966GSH	2009-12-15	SKODA	OCTAVIA	1U	STAXRX01/NFM5******	B	DIESEL	1896	74	5	2009-12-16	FALSE	FALSE			2018-11-03	
1350792	4209GSH	2009-12-15	TOYOTA	PRIUS	XW3(A)	ZVW30(H)	ECO	GASOLINA-ELECTRICIDAD	1798	73	5	2014-11-17	FALSE	FALSE			2018-11-03	
1164167	0374GSH	2009-12-14	SKODA	OCTAVIA	1U	STAXRX01/NFM5******	B	DIESEL	1896	74	5	2009-12-28	FALSE	FALSE			2018-11-03	
1163368	1936GSG	2009-12-10	SKODA	OCTAVIA	1Z	AABXEX01/NFM5********	B	DIESEL	1896	77	5	2009-12-14	FALSE	FALSE			2018-11-03	
1163175	0118GSG	2009-12-10	TOYOTA	PRIUS	XW3(A)	ZVW30(H)	ECO	GASOLINA-ELECTRICIDAD	1798	73	5	2009-12-11	FALSE	FALSE			2018-11-03	
1163203	5727GSF	2009-12-09	SEAT	ALTEA XL	5P	ACBSEX01/SGFM5********	C	GASOLINA TRANSFORMADO GLP	1595	75	5	2009-12-11	FALSE	FALSE			2018-11-03	
1163338	7363GSF	2009-12-09	SKODA	OCTAVIA	1Z	AABXEX01/NFM5********	B	DIESEL	1896	77	5	2009-12-14	FALSE	FALSE			2018-11-03	
